"Product","Sales volume(KG/lt)","Brand","Price(TL)","Price per Liter/kg","Quality_Score","Delivery_Time","fav_number","Comment Count","Store"
"Glutensiz Un","2","Sinangil","51.99","25.995","4.70","5","1250","0","GetirBüyük"
"Glutensiz  Un ","10","Ingromix","248","24.8","4.00","4.9","5","2","PTTAVM"
"Glutensiz Un","0.5","Sinangil","53.87","107.74","4.60","5","2100","15","Migros"
"Glutensiz Un","5","Sinangil","479.9","95.98","4.70","4.2","0","0","Bezevim"
"Glutensiz Un","5","Ingromix","487","97.4","4.20","4.7","110","5","PTTAVM"
"Glutensiz Un ","15","Sinangil","1399.9","93.326666666667","4.60","3.2","5","1","Bezevim"
"Glutensiz Un","5","Ingromix","510.4","102.08","4.40","3","135","102","n11"
"Glutensiz Un","5","Dola","696","139.2","3.80","4.5","2","0","PTTAVM"
"Glutensiz Un","1","İpek Değirmen","99.9","99.9","4.5","4.8","1500","22","TRENDYOL"
"Glutensiz Un ","5","Ingromix","567","113.4","4.60","2.6","0","0","PTTAVM"
"Glutensiz Un","5","İpek Değirmen","124.9","24.98","4.1","2.50","3500","2","TRENDYOL"
"Glutensiz Un","5","Ingromix","515","103","4.60","2.00","0","0","PTTAVM"
"Glutensiz Un","2","TamTarım","336","168","4.7","5","4654","139","TRENDYOL"
"Glutensiz Un","2","SCHAR","199","99.5","4.8","4.9","1401","181","TRENDYOL"
"Glutensiz Un","2","TamTarım","725","362.5","4.7","5","189","13","TRENDYOL"
"Glutensiz Un","1","Sinangil","151","151","4.8","4.7","40","24","n11"
"Glutensiz Un","1","Glutensiz Fabrika","117","117","4.7","5","25","6","TRENDYOL"
"Glutensiz Un ","1","İpek Değirmen","169.9","169.9","4.6","4.9","4500","371","TRENDYOL"
"Un","10","NORA UN","315.99","31.599","4.8","5","3400","4","TRENDYOL"
"Un","10","NORA UN","578.99","57.899","4.8","5","135","38","TRENDYOL"
"Un","5","Söke","167.4","33.48","4.5","5","1244","397","TRENDYOL"
"Un","25","Hatap","758.75","30.35","3.70","3.1","123","12","PTTAVM"
"Un","5","Söke","109.9","21.98","5.00","5","0","0","Carrefour"
"Un","3","NORA UN","188.99","63.00","4.60","4","12","1","TRENDYOL"
"Un","25","Hekimoğlu","800","32.00","4.70","3.5","5","0","TRENDYOL"
"Un","1","Aktarcınız","91.91","91.91","3.50","3","0","0","PTTAVM"
"Un ","6","Sinangil","377.2","62.87","3.90","3.6","0","0","PTTAVM"
"Un","5","Hekimoğlu","116.9","23.38","4.90","2.5","0","5","Carrefour"
"Un","6","NORA UN","312.99","52.16","4.6","3.2","560","34","TRENDYOL"
"Un","0.5","Söke","18.2","36.40","5.00","4","999","304","Carrefour"
"Un","5","Eriş Un","62.9","12.58","5.00","3","12","5","Migros Toptan"
"Un","5","Oba","114.9","22.98","5.00","4","49","12","PTTAVM"
"Un","5","Migros","69.5","13.90","3.40","3.5","0","12","Migros Toptan"
"Un","10","Hatap","387.75","38.77","4.00","4.2","0","0","PTTAVM"
"Un","10","Tellioğlu","258.5","25.85","4.10","3","0","0","Tellioğlu"
"Un","5","Sinangil","82.5","16.50","5.00","3.2","2345","220","Şok"
"Un ","5","Hekimoğlu UN","229","45.80","4.8","3.5","0","181","TRENDYOL"
"Un","5","Eriş","66.9","13.38","5.00","2","340","5","A101 Hiper"
"Un","5","Hatap","192","38.40","4.60","3.0","500","123","n11"
"Un","10","Ova","350","35.00","4.50","4.2","0","34","n11"
"Un","25","Hatap","837.77","33.51","3.00","2.0","0","245","PTTAVM"
"Un","5","Hekimoğlu UN","239","47.80","4.8","2.5","0","41","TRENDYOL"
"Un","5","Tellioğlu","289","57.80","4.8","3.7","0","275","TRENDYOL"
"Un","10","NORA UN","315.99","31.60","4.8","2.4","0","57","TRENDYOL"
"Un","1","İpek Değirmen","124.9","124.90","4.5","4.0","0","309","TRENDYOL"
"Un","25","UZUNSAN","810","32.40","4.5","4.8","0","33","TRENDYOL"
"Un","5","Oba Makarna","109.9","21.98","4.6","2.1","330","25","TRENDYOL"
"Un","5","İngro","765","153.00","2.00","3.9","23","0","Amazon"
"Un ","5","Sinangil","145.31","29.06","4.7","4.2","0","0","TRENDYOL"
"Un","25","Hekimoğlu UN","825","33.00","4.9","4.6","0","0","TRENDYOL"
"Un","10","NORA UN","341.99","34.20","4.5","2.1","463","0","TRENDYOL"
"Un ","3","Tellioğlu","225","75.00","4.7","3.9","350","28","TRENDYOL"
"Un","25","Ova Un","825","33.00","5","4.5","337","10","TRENDYOL"
"Un","2","Söke","40.44","20.22","4.00","4.0","152","5","Migros Toptan"
"Un","0.08","OG Natural","183","2287.50","4.60","3.5","389","5","TRENDYOL"
"Un","1","Söke","24.9","24.90","5","4.2","21","2","ŞOK"
"Un","10","Söke","295.95","29.59","5","3.0","309","3","PttAVM"
"Un","4","Söke","231.08","57.77","5","4.8","249","5","Idefix"
"Un","5","Söke","109.9","21.98","5","4.2","183","0","Carrefour"
"Un","15","Söke","453.09","30.21","5","3.4","417","0","PttAVM"
"Un","10","Söke","304.68","30.47","5","2.0","300","0","PttAVM"
"Un","30","Söke","833.24","27.77","5","4.2","402","0","Idefix"
"Un","20","Söke","592.77","29.64","5","4.0","130","5","PttAVM"
"Un","20","Söke","729","36.45","4.9","4.6","489","34","n11"
"Un","15","Söke","539","35.93","5","1.6","200","23","Amazon"
"Un","10","Söke","399","39.90","5","3.0","106","3","n11"
"Un","1","Söke","36.99","36.99","4.9","2.0","265","2","GetirBüyük"
"Un","6","Söke","208.65","34.77","5","1.8","186","3","PttAVM"
"Un","1","Söke","24.9","24.90","5","1.9","7","0","Carrefour"
"Un","1","Söke","46.99","46.99","5","2","414","0","Şok"
"Un","1","KARA KILÇIK ADANA","136","136.00","4.7","2.5","209","20","TRENDYOL"
"Un","1","İpek Değirmen","114.9","114.90","4.8","4","145","314","TRENDYOL"
"Un ","2","Efsane","34.5","17.25","4.2","5","292","45","BİM"
"Organik Un","0.3","Değirmenden","115","383.33","5","5","24","12","TRENDYOL"
"Organik Un","2","Söke","84.95","42.48","5","4","266","45","Migros"
"Organik Un","1","Makarna Lütfen","239.91","239.91","4.80","1","262","","TRENDYOL"
"Organik Un","0.8","OG Natural","185","231.25","4.80","3","221","","TRENDYOL"
"Organik Un","1","Soul Kitchen","122.68","122.68","4.80","2","300","50","TRENDYOL"
"Organik Un","1","Makarna Lütfen","239.91","239.91","4.80","4","0","0","TRENDYOL"
"Organik Un","5","Değirmenden","387","77.40","4.9","5","0","0","TRENDYOL"
"Organik Un","2","Makarna Lütfen","214.91","107.45","4.7","3","1200","0","TRENDYOL"
"Organik Un","0.5","Soul Kitchen","153.3","306.60","4.7","2","234","0","TRENDYOL"
"Organik Un","1","Değirmenden","290","290.00","4.9","4","223","36","TRENDYOL"
"Organik Un","0.25","Essen","90.28","361.12","4.7","5","270","121","TRENDYOL"
