Product,Sales_volume(kg),Brand,Price(TL),Price(TL/Sales_volume),Quality_Score,Delivery_Time,Fav_number,Comment_Count,Store
glutensiz un,2.0,Sinangil,51.99,26.0,4.7,5.0,1250,0.0,GetirBüyük
glutensiz un,10.0,Ingromix,248.0,24.8,4.0,4.9,5,2.0,PTTAVM
glutensiz un,0.5,Sinangil,53.87,107.74,4.6,5.0,2100,15.0,Migros
glutensiz un,5.0,Sinangil,479.9,95.98,4.7,4.2,0,0.0,Bezevim
glutensiz un,5.0,Ingromix,487.0,97.4,4.2,4.7,110,5.0,PTTAVM
glutensiz un,15.0,Sinangil,1399.9,93.33,4.6,3.2,5,1.0,Bezevim
glutensiz un,5.0,Ingromix,510.4,102.08,4.4,3.0,135,102.0,n11
glutensiz un,5.0,Dola,696.0,139.2,3.8,4.5,2,0.0,PTTAVM
glutensiz un,1.0,İpek Değirmen,99.9,99.9,4.5,4.8,1500,22.0,TRENDYOL
glutensiz un,5.0,Ingromix,567.0,113.4,4.6,2.6,0,0.0,PTTAVM
glutensiz un,5.0,İpek Değirmen,124.9,24.98,4.1,2.5,3500,2.0,TRENDYOL
glutensiz un,5.0,Ingromix,515.0,103.0,4.6,2.0,0,0.0,PTTAVM
glutensiz un,2.0,TamTarım,336.0,168.0,4.7,5.0,4654,139.0,TRENDYOL
glutensiz un,2.0,SCHAR,199.0,99.5,4.8,4.9,1401,181.0,TRENDYOL
glutensiz un,2.0,TamTarım,725.0,362.5,4.7,5.0,189,13.0,TRENDYOL
glutensiz un,1.0,Sinangil,151.0,151.0,4.8,4.7,40,24.0,n11
glutensiz un,1.0,Glutensiz Fabrika,117.0,117.0,4.7,5.0,25,6.0,TRENDYOL
glutensiz un,1.0,İpek Değirmen,169.9,169.9,4.6,4.9,4500,371.0,TRENDYOL
un,10.0,NORA UN,315.99,31.6,4.8,5.0,3400,4.0,TRENDYOL
un,10.0,NORA UN,578.99,57.9,4.8,5.0,135,38.0,TRENDYOL
un,5.0,Söke,167.4,33.48,4.5,5.0,1244,397.0,TRENDYOL
un,25.0,Hatap,758.75,30.35,3.7,3.1,123,12.0,PTTAVM
un,5.0,Söke,109.9,21.98,5.0,5.0,0,0.0,Carrefour
un,3.0,NORA UN,188.99,63.0,4.6,4.0,12,1.0,TRENDYOL
un,25.0,Hekimoğlu,800.0,32.0,4.7,3.5,5,0.0,TRENDYOL
un,1.0,Aktarcınız,91.91,91.91,3.5,3.0,0,0.0,PTTAVM
un,6.0,Sinangil,377.2,62.87,3.9,3.6,0,0.0,PTTAVM
un,5.0,Hekimoğlu,116.9,23.38,4.9,2.5,0,5.0,Carrefour
un,6.0,NORA UN,312.99,52.16,4.6,3.2,560,34.0,TRENDYOL
un,0.5,Söke,18.2,36.4,5.0,4.0,999,304.0,Carrefour
un,5.0,Eriş Un,62.9,12.58,5.0,3.0,12,5.0,Migros Toptan
un,5.0,Oba,114.9,22.98,5.0,4.0,49,12.0,PTTAVM
un,5.0,Migros,69.5,13.9,3.4,3.5,0,12.0,Migros Toptan
un,10.0,Hatap,387.75,38.77,4.0,4.2,0,0.0,PTTAVM
un,10.0,Tellioğlu,258.5,25.85,4.1,3.0,0,0.0,Tellioğlu
un,5.0,Sinangil,82.5,16.5,5.0,3.2,2345,220.0,Şok
un,5.0,Hekimoğlu UN,229.0,45.8,4.8,3.5,0,181.0,TRENDYOL
un,5.0,Eriş,66.9,13.38,5.0,2.0,340,5.0,A101 Hiper
un,5.0,Hatap,192.0,38.4,4.6,3.0,500,123.0,n11
un,10.0,Ova,350.0,35.0,4.5,4.2,0,34.0,n11
un,25.0,Hatap,837.77,33.51,3.0,2.0,0,245.0,PTTAVM
un,5.0,Hekimoğlu UN,239.0,47.8,4.8,2.5,0,41.0,TRENDYOL
un,5.0,Tellioğlu,289.0,57.8,4.8,3.7,0,275.0,TRENDYOL
un,10.0,NORA UN,315.99,31.6,4.8,2.4,0,57.0,TRENDYOL
un,1.0,İpek Değirmen,124.9,124.9,4.5,4.0,0,309.0,TRENDYOL
un,25.0,UZUNSAN,810.0,32.4,4.5,4.8,0,33.0,TRENDYOL
un,5.0,Oba Makarna,109.9,21.98,4.6,2.1,330,25.0,TRENDYOL
un,5.0,İngro,765.0,153.0,2.0,3.9,23,0.0,Amazon
un,5.0,Sinangil,145.31,29.06,4.7,4.2,0,0.0,TRENDYOL
un,25.0,Hekimoğlu UN,825.0,33.0,4.9,4.6,0,0.0,TRENDYOL
un,10.0,NORA UN,341.99,34.2,4.5,2.1,463,0.0,TRENDYOL
un,3.0,Tellioğlu,225.0,75.0,4.7,3.9,350,28.0,TRENDYOL
un,25.0,Ova Un,825.0,33.0,5.0,4.5,337,10.0,TRENDYOL
un,2.0,Söke,40.44,20.22,4.0,4.0,152,5.0,Migros Toptan
un,0.08,OG Natural,183.0,2287.5,4.6,3.5,389,5.0,TRENDYOL
un,1.0,Söke,24.9,24.9,5.0,4.2,21,2.0,ŞOK
un,10.0,Söke,295.95,29.59,5.0,3.0,309,3.0,PttAVM
un,4.0,Söke,231.08,57.77,5.0,4.8,249,5.0,Idefix
un,5.0,Söke,109.9,21.98,5.0,4.2,183,0.0,Carrefour
un,15.0,Söke,453.09,30.21,5.0,3.4,417,0.0,PttAVM
un,10.0,Söke,304.68,30.47,5.0,2.0,300,0.0,PttAVM
un,30.0,Söke,833.24,27.77,5.0,4.2,402,0.0,Idefix
un,20.0,Söke,592.77,29.64,5.0,4.0,130,5.0,PttAVM
un,20.0,Söke,729.0,36.45,4.9,4.6,489,34.0,n11
un,15.0,Söke,539.0,35.93,5.0,1.6,200,23.0,Amazon
un,10.0,Söke,399.0,39.9,5.0,3.0,106,3.0,n11
un,1.0,Söke,36.99,36.99,4.9,2.0,265,2.0,GetirBüyük
un,6.0,Söke,208.65,34.77,5.0,1.8,186,3.0,PttAVM
un,1.0,Söke,24.9,24.9,5.0,1.9,7,0.0,Carrefour
un,1.0,Söke,46.99,46.99,5.0,2.0,414,0.0,Şok
un,1.0,KARA KILÇIK ADANA,136.0,136.0,4.7,2.5,209,20.0,TRENDYOL
un,1.0,İpek Değirmen,114.9,114.9,4.8,4.0,145,314.0,TRENDYOL
un,2.0,Efsane,34.5,17.25,4.2,5.0,292,45.0,BİM
organik un,0.3,Değirmenden,115.0,383.33,5.0,5.0,24,12.0,TRENDYOL
organik un,2.0,Söke,84.95,42.48,5.0,4.0,266,45.0,Migros
organik un,1.0,Makarna Lütfen,239.91,239.91,4.8,1.0,262,145.27509293680296,TRENDYOL
organik un,0.8,OG Natural,185.0,231.25,4.8,3.0,221,145.27509293680296,TRENDYOL
organik un,1.0,Soul Kitchen,122.68,122.68,4.8,2.0,300,50.0,TRENDYOL
organik un,1.0,Makarna Lütfen,239.91,239.91,4.8,4.0,0,0.0,TRENDYOL
organik un,5.0,Değirmenden,387.0,77.4,4.9,5.0,0,0.0,TRENDYOL
organik un,2.0,Makarna Lütfen,214.91,107.45,4.7,3.0,1200,0.0,TRENDYOL
organik un,0.5,Soul Kitchen,153.3,306.6,4.7,2.0,234,0.0,TRENDYOL
organik un,1.0,Değirmenden,290.0,290.0,4.9,4.0,223,36.0,TRENDYOL
organik un,0.25,Essen,90.28,361.12,4.7,5.0,270,121.0,TRENDYOL
